lng,lat,link,title,location
-89.4012,43.0731,"https://www.wkow.com/news/crime/madison-man-arrested-charged-with-anti-asian-hate-crime/article_f625258a-22ce-11ec-8c45-8380556b8941.html","Madison man arrested, charged with anti-Asian hate crime","Madison, Wisconsin" 
-117.8311,33.7175,"https://ktla.com/news/local-news/man-charged-with-hate-crime-after-threatening-u-s-olympic-athlete-training-at-orange-park-das-office/","Man charged with hate crime after threatening U.S. Olympic athlete training at Orange park: DA’s office","Orange, California"
